At the end of a Sprint, a Product Backlog item worked on during the Sprint does not meet the Definition of Done. What two things should happen with the undone Product Backlog item? (choose the best two answers) ;Review the item, add the done part of the estimate to the velocity and create a Story for the remaining work.;H;If the stakeholders agree, the Product Owner can accept it and release it to the users.;H;Do not include the item in the Increment this Sprint.;I;Put it on the Product Backlog for the Product Owner to decide what to do with it.;I;;;;;;;;;;;;
When a Development Team is having trouble delivering a working Increment because they don't understand a functional requirement, what should they do? (Choose the best answer);Add a specialist to the Development Team.;H;Defer the work to a more appropriate Sprint.;H;Partially complete the functionality and discuss the remaining work at the Sprint Review.;H;Collaborate with the Product Owner to determine what is possible and acceptable.;I;;;;;;;;;;;;
Which of the following might the Scrum Team discuss during a Sprint Retrospective? (choose the best answer);Methods of communication;H;The way the Scrum Team does Sprint Planning;H;Skills needed to improve the Developers ability to deliver;H;The Definition of Done;H;All of the above;I;;;;;;;;;;
Which of the following are true about the Product Owner? (choose the best answer);Optimizing the value of the work the Scrum Team does.;I;Keep stakeholders from distracting the Developers.;H;Directing the Developers;H;Ensuring that the work meets the commitments to the stakeholders.;H;;;;;;;;;;;;
Which topics should be discussed in the Sprint Review? (choose the best answer);The Scrum process, and how it was used during the Sprint.;H;Coding and engineering practices.;H;The product Increment.;I;All of the above.;H;;;;;;;;;;;;
What is the main reason for the Scrum Master to be at the Daily Scrum? (choose the best answer);To write down any changes to the Sprint Backlog, including adding new items, and tracking progress on the burn-down.;H;"He or she does not have to be there; he or she only has to ensure the Development Team has a Daily Scrum.";I;To gather status and progress information to report to management.;H;To make sure every team member answers the three questions.;H;;;;;;;;;;;;
When the Developers determine that they will not be able to finish the complete forecast, who has to be present when reviewing and adjusting the Sprint work selected? (choose the best answer);The Product Owner and the Developers.;I;The Scrum Master, project manager and the Developers;H;The Product Owner and all stakeholders.;H;The Scrum Master and the Developers.;H;;;;;;;;;;;;
As the Sprint Planning progresses, the Developers realize that the workload may be greater than their capacity to complete the work. Which two are valid actions? (choose the best two answers);Remove or change selected Product Backlog items.;I;The developers ensure that the Scrum Team is aware, start the Sprint, and monitor progress.;I;Cancel the Sprint.;H;Recruit additional Developers before the work begin.;H;The Developers work overtime during this Sprint.;H;;;;;;;;;;
During Sprint Planning the Product Owner and the Developers are unable to reach an understanding about the highest order Product Backlog Items. Because of this, the Developers are unable to determine how many Product Backlog items they can forecast for the upcoming Sprint. However, the Product Owner and the Developers are able to agree on a Sprint Goal. Which of the following actions should the Scrum Master support? (choose the best two answers);Cancel the Sprint. Send the entire team to an advanced Scrum training and then start a new Sprint. ;H;During the next Sprint Retrospective discuss why this happened and what changes will make it less likely to recur. ;I;Continue the Sprint Planning event past its timebox until an adequate number of Product Backlog Items are well enough understood for the Developers to make a complete forecast. Then start the Sprint. ;H;Forecast the Product Backlog items that are most likely to meet the Sprint Goal and create the Sprint Backlog. Conclude Sprint Planning and start the development work. Continue to analyze, decompose, and create additional functionality during the Sprint.;I;;;;;;;;;;;;
Which best describes the Product Backlog? (choose the best answer);It is baselined to follow change management processes;H;It provides just enough information to enable a Scrum Team to start the design phase of a product.;H;It is allowed to grow and change as more is learned about the product and its customers.;I;It contains all foreseeable tasks and requirements from which the Scrum Team can develop and maintain a complete project plan.;H;;;;;;;;;;;;
You are the Scrum Master for four Scrum Teams working from the same Product Backlog. Several of the developers come to you complaining that work identified for the upcoming two Sprints will require full-time commitment from a specialist who is external to the teams. What should the Scrum Master consider in this situation? (choose the best two answers);The ability of the Scrum Teams to produce integrated increments.;I;The desire to maintain a stable velocity.;H;The need to have enough work to keep all Developers busy.;H;The benefit of Developers figuring out a solution for themselves.;I;;;;;;;;;;;;
Which of the following are true about the length of the Sprint? (choose the best answer);The length of the Sprint should be proportional to the work that is done in between Sprints.;H;All Sprints must be one month or less.;I;Sprint length is determined during Sprint Planning, and should hold the time it will take to build the planned features in the upcoming Sprint, but does not include time for any testing.;H;Sprint length is determined during Sprint Planning, and should be long enough to make sure the Scrum Team can deliver what is to be accomplished in the upcoming Sprint.;H;;;;;;;;;;;;
A new Developer is having continuing conflicts with existing members of the Scrum Team, Which is impacting the delivery of the Increment. If necessary, who is responsible for removing the Developer from the Scrum Team? (choose the best answer);The Scrum Team is responsible.;I;The Product Owner is responsible, they control the return on investment (ROI).;H;The hiring manager is responsible, they hire the Developer.;H;The Scrum Master is responsible, they remove impediments.;H;;;;;;;;;;;;
What is the Scrum Master responsible for during the Sprint Retrospective? (choose the best answer);Participating as a Scrum Team member and facilitating as requested or needed.;I;Acting as a scribe to capture the Scrum Team's answers.;H;Prioritizing the resulting action items.;H;Summarizing and reporting the discussions to management;H;;;;;;;;;;;;
You are the Scrum Master of a new, to be developed product. Development is going to require 45 people. What is a good first question for you to suggest the group thinks about when forming into teams? (choose the best answer);Who are going to be the team leads?;H;What is the right mixture of senior and junior people on each team?;H;How will we make sure all teams have the right amount of expertise?;I;Who are the subject matter experts on each team?;H;;;;;;;;;;;;
What two factors are best considered when establishing the Sprint length? (choose the best two answers);The risk of being disconnected from the stakeholders.;I;The frequency at which team formation can be changed.;H;The organization has mandated similar length sprints.;H;The level of uncertainty over the technology to be used.;I;;;;;;;;;;;;
During the Sprint, when is new work or further decomposition of work added to the Sprint Backlog? (choose the best answer);When the Product Owner identifies new work.;H;When the Scrum Master has time to enter them.;H;As soon as possible after they are identified.;I;During the Daily Scrum after the Development Team approves them.;H;;;;;;;;;;;;
Who should know the most about the progress toward the Product Goal? (choose the best answer);The Scrum Master;H;The Project Manager;H;The Product Owner;I;The Developers;H;;;;;;;;;;;;
How should a Development Team deal with non-functional requirements? (choose the best answer);Assign them to the lead developers on the team.;H;Make sure the release department understands these requirements, but it is not the Development Team's responsibility.;H;Ensure every Increment meets them.;I;Handle them during the Integration Sprint preceding the Release Sprint.;H;;;;;;;;;;;;
When do Development Team members take ownership of a Sprint Backlog item? (choose the best answer);At the Sprint planning meeting.;H;During the Daily Scrum.;H;"Never. All Sprint Backlog Items are ""owned"" by the entire Development Team, even though each one may be done by an individual Development Team member.";I;Whenever a team member can accomodate more work.;H;;;;;;;;;;;;
Which three of the following are feedback loops in Scrum? (choose the best three answers);Sprint Review;I;Release Planning;H;Refinement Meeting;H;Sprint Retrospective;I;Daily Scrum;I;;;;;;;;;;
Which approach is best for Scrum Teams in order to produce valuable increments? (choose the best answer);Each Scrum Team is accountable for developing functionality from beginning to end.;I;Each Scrum Member works only as an independent layer of the system.;H;Each Scrum Team works on an independent set of components.;H;Each Developer works on the component where they feel that they can contribute;H;;;;;;;;;;;;
The Daily Scrum is an event that happens every day. What would be three key concerns if the frequency were to be lowered to every two or three days? (choose the best three answers);The Sprint Backlog may become inaccurate;I;Too much work is spent updating the Scrum board before the meeting;H;The Scrum Master loses the ability to update the Gantt chart properly;H;The Product Owner cannot accurately report progress to the stakeholders.;H;Opportunities to inspect and adapt the Sprint Backlog are lost.;I;Impediments are raised and resolved more slowly.;I;;;;;;;;
True or False: A Scrum Team is only allowed to meet with stakeholders during Sprint Review.;TRUE;H;FALSE;I;;;;;;;;;;;;;;;;
Which two ways of creating Scrum Teams are consistent with Scrum's values? (choose the best two answers);Managers personally re-assign current subordinates to new teams;H;Bring all the people together and let them organize into Scrum Teams;I;Managers collaborate to assign individuals to specific teams;H;The Chief Product Owner determines the new team structures and assignments;H;Existing teams propose how they would like to go about organizing into the new structure;I;;;;;;;;;;
Who determines how many Product Backlog items the Developers select for a Sprint? (choose the best answer);The stakeholders attending Sprint Planning.;H;The Scrum Team;H;The Product Owner;H;The Developers;I;The Scrum Master;H;;;;;;;;;;
What is the tactic a Scrum Master should use to divide a group of 100 people into multiple Development Teams? (choose the best answer);Ask the developers to divide themselves into teams.;I;Ask the Product Owner to assign the people to teams.;H;Create teams based on their skills across multiple layers (such as database, UI, etc.);H;;;;;;;;;;;;;;
Who starts the Daily Scrum? (choose the best answer);The Scrum Master. This ensures that the Development Team has the meeting and stays within the time-box.;H;Whoever the Development Team decides should start.;I;The person coming in last. This encourages people to be on time and helps to stay within the time-box.;H;The person who last broke the build.;H;The person who has the token.;H;;;;;;;;;;
What is the recommended size for a Scrum Team? (choose the best answer);7 plus or minus 3;H;At least 7;H;9;H;10 or fewer;I;;;;;;;;;;;;
During a Sprint Retrospective, for what is the Scrum Master responsible? (choose the best answer);Participating as a Scrum team member and facilitating as requested or needed.;I;Prioritizing the resulting action items.;H;Summarizing and reporting the discussions to management.;H;Acting as a scribe to capture the Development Team's answers.;H;;;;;;;;;;;;
What is the key concern when multiple Development Teams are working from the same Product Backlog? (choose the best answer);Making sure there's enough work for everyone on every team.;H;Maximizing velocity.;H;Meeting original scope projections.;H;Minimizing dependencies between teams.;I;Clear definition of requirements.;H;;;;;;;;;;
A PO wants advice from the SM about estimating work in Scrum. Which of these is the guideline that a Scrum Master should give? (choose the best answer);Estimates are made by the Development Team.;I;Scrum forbids estimation.;H;Estimates are made by the PO, but are best checked with the Development Team;H;Product Backlog items must be estimated in story points;H;Estimates must be in relative units;H;;;;;;;;;;
Who creates a Product Backlog item's estimate? (choose the best answer);The Scrum Master;H;The Development Team, alone;H;The most senior people in the organization, including architects and subject matter expert;H;The Development Team after clarifying requirements with the Product Owner;I;The Product Owner with input from the Development Team;H;;;;;;;;;;
Which of these may a Scrum Team deliver at the end of a Sprint? (choose the best answer);A valuable, useful Increment that meets the Definition of Done.;I;Failing unit tests, to identify acceptance tests for the next Sprint.;H;An increment of software with minor known bugs in it.;H;A single document, if that is what management asked for.;H;;;;;;;;;;;;
Which of the following activities will a Product Owner engage in during a Sprint? (choose the best answer);Run the Daily Scrum.;H;Update management on what is being worked on.;H;Answer question from the Developers about items in the current Sprint.;I;Prioritize the Developers' work on the Sprint Backlog;H;;;;;;;;;;;;
For which of the following in the Scrum Master responsible? (choose the best answer);The meetings and the objectives that a Scrum Team sets for itself.;H;Keeping track of resource allocation.;H;Properly adopting and using the Scrum framework;I;Managing the performance of the Scrum Team.;H;;;;;;;;;;;;
A Sprint Retrospective should be held: (choose the best answer) *;At the end of the last Sprint in a project or a release;H;At the end of each Sprint;I;Only when the Scrum Team determines it needs one;H;At the beginning of each Sprint;H;;;;;;;;;;;;
Who determines how work is performed during the Sprint? (choose the best answer);The Scrum Master;H;The Scrum Team;H;Team manager;H;Subject matter experts;H;The Developers;I;;;;;;;;;;
One of the Scrum events is the Daily Scrum. What are two intended outcomes of the Daily Scrum? (choose the best two answers);Identification of impediments that may prevent the Developers from achieving the Sprint Goal.;I;A status report for the upper management indicating what each individual has done, will be doing, and what is impeding him/her.;H;An updated Scrum board to make Sprint progress transparent for the stakeholders.;H;An update of completed task and of the remaning work so the Scrum Master can plan the next day.;H;A shared understanding of the most important work to be undertaken next to achieve the best possible progress toward the Sprint goal.;I;;;;;;;;;;
True or False: When multiple teams work together on the same product, each team should maintain a separate Product Backlog.;TRUE;H;FALSE;I;;;;;;;;;;;;;;;;
When is sprint over? (choose the best answer) ;When all the tasks are completed;H;When the timebox expires.;I;When all Product Backlog items meet their Definition of Done.;H;When the Product Owner says it is done.;H;;;;;;;;;;;;
True or False: multiple Scrum Teams working on the same product or system all select work from the same Product Backlog.;TRUE;I;FALSE;H;;;;;;;;;;;;;;;;
How do you know that a Development Team is cross-functional? (Choose the best answer);A few of the Development Team members pair program and do Test Driven Development.;H;Development Team has all the skills to create a potentially releasable increment by the end of every Sprint.;I;Every member of the Development Team is able to perform every task.;H;There are no conflicts within the Development Team.;H;;;;;;;;;;;;
Which statement best describes the Sprint Backlog as the output of the Sprint Planning? (choose the best answer);It is a complete list of all work to be done in a Sprint.;H;Every item has a designated owner.;H;Each task is estimated in hours.;H;It is ordered by the Product Owner.;H;It is the Scrum Team's plan for the Sprint.;I;;;;;;;;;;
Who is responsible for collaboration with stakeholders? (choose the best answer);The Team Manager;H;The Developers;H;The Business Analyst;H;The Project Manager;H;The Scrum Team;I;;;;;;;;;;
What are two good ways for a Scrum Team to ensure security concerns are satisfied? (choose the best two answers);"Add security concerns to the definition of ""Done"".";I;Postpone the work until a specialist can perform a security audit and create a list of security-related Product Backlog items. Add a Sprint to specifically resolve all security concerns.;H;Have the Scrum Team create Product Backlog items for each concern.;I;Delegate the work to the concerned department.;H;;;;;;;;;;;;
How much work is required of the Developers to complete a Product Backlog item selected during the Sprint Planning? (choose the best answer);A proportional amount of time on analysis, design, development, and testing.;H;As much as they can fit into the Sprint, with remaining work deferred to the next Sprint.;H;All development work and at least some testing.;H;As much as is required to meet the Scrum Team's Definition of Done;I;;;;;;;;;;;;
Which technique is the best way the Scrum Master can ensure that the Development Team communicates effectively with the Product Owner? (choose the best answer);Monitor communications between them and facilitate direct collaboration.;I;Teach the Product Owner about the technologies employed during the Sprints. ;H;Act as go-between for them.;H;Teach the Development Team to talk in terms of business needs and objectives.;H;;;;;;;;;;;;
A Scrum Master is introducing Scrum to a new Team. The Team has decided that a Sprint Retrospective is unnecessary. What action should the Scrum Master take? (choose the best answer);Call a meeting between the Scrum Team and senior manager.;H;Consult with the Product Owner to see how they feel about the situation.;H;Comply with the decision of the self-managing team.;H;Begin facilitating productive and useful Sprint Retrospectives.;I;;;;;;;;;;;;
Who is part of the discussion about which Product Backlog items are selected for a Sprint? (choose the best answer);The Scrum Team;H;The Scrum Master;H;The Developers;I;The Product Owner;H;;;;;;;;;;;;
Which two of the following are appropriate topics for discussion during a Sprint Retrospective? (choose the best two answers);How the team collaborates.;I;The order of items in the Product Backlog.;H;Identifying high priority process improvements for the next Sprint.;I;Documenting acceptance criteria for items in the next Sprint.;H;;;;;;;;;;;;
The Product Owner is not collaborating with Developers during the Sprint. What are two valuable actions for a Scrum Master to take? (choose the best two answers);Stop the Sprint, send the Product Owner to a course and restart.;H;Coach the Product Owner in the values of Scrum and incremental delivery.;I;Inform the Product Owner's functional manager.;H;Bring up the problem in the Sprint Retrospective.;I;Nominate a proxy Product Owner.;H;;;;;;;;;;
The Product Backlog is ordered by: (choose the best answer) ;Size, where small items are at the tip and large items are at the bottom. ;H;The Product Owner with the most valuable items placed at the top. ;I;Risk, where safer items are at the top, and risker items are at the bottom. ;H;Items are randomly arranged.;H;;;;;;;;;;;;
"A Development Team selects a set of Product Backlog items with the plan to get the selected items ""Done"" by the end of the Sprint. Which three phrases best describe the purpose of a definition of ""Done"". (choose the best three answers)";It defines what it takes for an Increment to be ready for release.;I;It provides a template for elements that need to be included in the technical documentation.;H;It tracks the percentage complete of a Product Backlog item.;H;It creates transparency over the work inspected in the Sprint Review.;I;It controls whether the developers have performed their tasks.;H;It guides the Development Team in creating a forecast at the Sprint Planning.;I;;;;;;;;
During the Sprint, the Scrum Master's role is to do which two of the following? (choose the best two answers);Monitor the progress of the Developers;H;Coaching the team members in self-management;I;Assign tasks with the Scrum Team;H;Escalate team conflicts to functional line managers;H;Ensure the Product Owner attends all Scrum events;H;Facilitate inspection and adaptation opportunities as requested or needed;I;;;;;;;;
When is the Sprint Backlog created? (choose the best answer);During Sprint Planning;I;During Refinement;H;Prior to Sprint Planning;H;During the Sprint Retrospective;H;;;;;;;;;;;;
Which of the following services are appropriate for a Scrum Master in regard to the Daily Scrum? (choose the best answer);Lead the discussions of the Development Team.;H;Ensure that all 3 questions have been answered.;H;Facilitate in a way that ensures each team member has a chance to speak.;H;Teach the Development Team to keep the Daily Scrum within the 15 minute time-box.;I;All of the above;H;;;;;;;;;;
The Scrum Team should have: (choose the best answer) *;The competencies and skills needed to deliver an Increment in a Sprint;I;At least one representative from each major department, such as, Quality Assurance, Development, and Marketing;H;One Lead Developer and no more than 8 other members;H;;;;;;;;;;;;;;
What are responsibilities of testers in a Development Team? (Choose the best two answers);Verifying the work of programmers.;H;Finding bugs.;H;Everyone in the Development Team is responsible for quality.;I;Tracking quality metrics.;H;"Scrum has no ""tester"" role.";I;;;;;;;;;;
Which three of the following are true about Scrum? (choose the best three answers);Scrum is a methodology where you can pick and choose which parts of Scrum you think will work for your environment.;H;Scrum is like traditional processes but with self-organization to replace Project Managers.;H;Scrum is a framework for developing and sustaining complex products.;I;Scrum is based on empirical process control theory.;I;Each component of Scrum serves a specific purpose and is essential to Scrum's success and your usage of Scrum to develop complex products.;I;;;;;;;;;;
Which of the following are topics for the Developers to discuss at the Daily Scrum as they inspect their progress toward the Sprint Goal? (choose the best three answers);Will today's work negatively impact our ability to meet the Sprint Goal for the Sprint following this one?;H;What will I be working on tomorrow?;H;What have we learned since yesterday, and how should we modify our plan to increase our ability to meet the Sprint Goal?;I;How many hours did I spend on the project yesterday?;H;Are there any decisions that need to be made to maintain progress toward the Sprint Goal?;I;Why were you late?;H;Are there any impediments blocking progress toward the Sprint Goal?;I;;;;;;
How much work must a Development Team do to a Product Backlog item it selects for a Sprint?;"As much as it has told the Product Owner will be done for every Product Backlog item it selects in conformance with the definition of ""Done"".";I;As much as it can fit into the Sprint.;H;All development work and at least some testing.;H;Analysis, design, programming, testing and documentation.;H;;;;;;;;;;;;
How is management external to the Scrum Team involved in the Daily Scrum? (choose the best answer);The Product Owner represents their opinion.;H;The Scrum Master speaks on their behalf.;H;The Development Team self-manages and is the only management required at the Daily Scrum.;I;Management gives an update at the start of each Daily Scrum.;H;;;;;;;;;;;;
What is the purpose of a Sprint Review? (choose the best answer);To take time to judge the validity of the project.;H;To inspect the product Increment with the stakeholders and collect feedback on next steps.;I;To review the Scrum Team's activities and processes during the Sprint.;H;To build team spirit.;H;;;;;;;;;;;;
Who is required to attend the Daily Scrum? (choose the best answer) ;The Development Team.;I;The Scrum team.;H;The Development Team and Scrum Master.;H;The Development Team and Product Owner.;H;The Scrum Master and Product Owner.;H;;;;;;;;;;
Which are appropriate topics for discussion in a Sprint Retrospective? (choose the best three answers);The value of work currently represented in the Product Backlog.;H;Definition of Done.;I;How the Scrum Team does its work.;I;Arranging the Sprint Backlog for the next Sprint.;H;Team relations.;I;;;;;;;;;;
True or False: Cross-functional teams are optimized to work on one component or layer of a system only;TRUE;H;FALSE;I;;;;;;;;;;;;;;;;
The length of a Sprint should be: (choose the best answer) ;Short enough to keep the business risk acceptable to the Product Owner.;H;Short enough to be able to synchronize the development work with other business events.;H;No more than one month.;H;All of these answers are correct.;I;;;;;;;;;;;;
When is implementation of a Product Backlog item considered complete? (choose the best answer);At the end of the Sprint.;H;When QA reports that the item passes all acceptance criteria.;H;When the item has no work remaining in order to be potentially released.;I;When all work in the Sprint Backlog related to the item is finished.;H;;;;;;;;;;;;
When many Scrum Teams are working on the same product, should all of their increments be integrated every Sprint? (choose the best answer);No, that is far too hard and must be done in a hardening Sprint.;H;Yes, otherwise the Product Owners (and stakeholders) may not be able to accurately inspect what is done.;I;Yes, but only for Scrum Teams whose work has dependencies.;H;No, each Scrum Team stands alone.;H;;;;;;;;;;;;
When should a Sprint Goal be created? (choose the best answer) ;At any time during the Sprint.;H;It should have been created in the previous Sprint during Product Backlog refinement.;H;During Sprint Planning.;I;A Sprint Goal is not mandatory in Scrum.;H;It must be established before Sprint Planning in order to begin planning.;H;;;;;;;;;;
True or False: Every Scrum Team must have a Product Owner and Scrum Master.;False. A Scrum Master is only required when asked for by the Scrum Team.;H;True. Each must be 100% dedicated to the Scrum Team.;H;False. A Product Owner can be replaced by a subject matter expert in the Scrum Team.;H;True. Outcomes are affected by their participation and availability.;I;;;;;;;;;;;;
User documentation is part of your Definition of Done. However, there are not enough technical writers for all teams. Your Scrum Team does not have a technical writer. What should the Scrum Team do? (choose the best answers);Wait until you have a technical writer on your Scrum Team to take care of this ;H;Let the user documentation remain undone and accumulate until after the last development Sprint. It will then be done by any available technical writers.;H;Form a separate team of technical writers that will work on an on-demand basis for the various Product Owners. Work order will be first, first out.;H;The Developers on the Scrum Team should write the user documentation.;I;;;;;;;;;;;;
Which two activities will a Product Owner engage in during a Sprint? (choose the best two answers);Work with the stakeholders.;I;Run the Daily Scrum.;H;Update the Sprint Burndown chart.;H;Answer questions from the Development Team about items in the current Sprint.;I;Prioritize the Development Team's work on the Sprint Backlog.;H;;;;;;;;;;
True or False: Scrum is a methodology that tells in detail how to build software incrementally.;TRUE;H;FALSE;I;;;;;;;;;;;;;;;;
What does it mean for a Scrum Team to be cross-functional? (choose the best answer);The Scrum Team includes cross-skilled individuals who are able to contribute to do what is necessary to deliver an Increment.;I;The Scrum Team is a virtual team drawing from separate teams of business analysts, architects, developers, and testers.;H;The Scrum Team includes not only developers but also business analysts, architects, and testers.;H;Developer on the Scrum Team work closely with business analysts architects, developers, and testers who are not on the team.;H;;;;;;;;;;;;
During a Sprint Retrospective, the Developers propose moving the Daily Scrum to only occur on Tuesdays and Thursdays. Which two are the most appropriate responses for the Scrum Master to recommend? (choose the best two answers);Consider the request and decide on which days the Daily Scrum should occur.;H;Have the Developers vote.;H;Acknowledge and support the self-managing team's decision.;H;Learn why the Developers want this and work with them to improve the outcome of the Daily Scrum.;I;Coach the team on why the Daily Scrum is important as an opportunity to update the plan.;I;;;;;;;;;;
What are three benefits of self-management? (choose the best three answers);Increased commitment;I;Increased rule compliance;H;Increased self-accountability;I;Increased accuracy of estimates;I;Increased creativity;H;;;;;;;;;;
Which statement best describes Scrum? (choose the best answer);A cookbook that defines best practices for software development.;H;A complete methodology that defines how to develop software.;H;A defined and predictive process that conforms to the principles of Scientific Management.;H;A framework within which complex products in complex environments are developed.;I;;;;;;;;;;;;
What techniques could the Scrum Master use when the Scrum Team gets caught in an internal disagreement about which agile practices to apply? (choose the best two answers);Involve the complete Scrum Team in making a decision;I;Ask an external agile coach what they recommend;H;Ask team members to take the issue up with the company's Human Resources department;H;Use coaching techniques, such as open questions and active listening;I;;;;;;;;;;;;
Why does the Product Owner want the Developers to adhere to its Definition of Done? (choose the best answer);To know what the team will deliver over the next three Sprints.;H;To predict the team's productivity over time;H;To be able to reprimand the team when they do not meet their velocity goal for the Sprint.;H;To have complete transparency into what has been done at the end of each Sprint.;I;;;;;;;;;;;;
An organization has decided to adopt Scrum, but management wants to change the terminology to fit with terminology already used. What will likely happen if this is done?;Without a new vocabulary as a reminder of the change, very little change may actually happen.;H;The organization may not understand what has changed with Scrum and the benefits of Scrum may be lost.;H;Management may feel less anxious.;H;All answers apply.;I;;;;;;;;;;;;
The Sprint Review is mainly an inspect and adapt opportunity for which group? (choose the best answer);The Development Team and stakeholders;H;The Development Team and management;H;The Product Owner and management;H;The Scrum Team and stakeholders;I;The Product Owner and Development Team;H;The Product Owner and stakeholders;H;;;;;;;;
What is the role of management in Scrum? (choose the best answer) ;To identify and remove people that are not working hard enough.;H;To present the Scrum Teams with insights and resources that help them improve.;I;To monitor the productivity of the Developers;H;To continually monitor staffing levels of the Scrum Team.;H;;;;;;;;;;;;
The Scrum Master observes the Product Owner struggling with ordering the Product Backlog. What is an appropriate action for the Scrum Master to take? (choose the best answer);Offer the Product Owner help in understanding that the goal of ordering the Product Backlog is to maximize value.;I;Suggest that the Developers order the Product Backlog to be sure that it is a feasible ordering of work.;H;Encourage the Product Owner to work with the Developers to see which items technically are fastest to implement;H;Present the Product Owner with an ordered Product Backlog to use;H;Suggest the Product Owner extend the Sprint, so he can have more time to order the Product Backlog.;H;;;;;;;;;;
What are two effective ways for a Scrum Team to ensure security concerns are satisfied? (choose the best two answers);Add security concerns to the Definition of Done;I;Delegate the work to the security department;H;Have the Scrum Team create Product Backlog items for each concern;I;Add a Sprint to specifically resolve all security concerns;H;Postpone the work until a specialist can perform a security audit and create a list of security-related Product Backlog items.;H;;;;;;;;;;
Who must attend the Daily Scrum? (choose the best answer) ;The Developers and Product Owner;H;The Scrum Master and Product Owner;H;The Scrum Team;H;The Developers and Scrum Master;H;The Developers;I;;;;;;;;;;
